pnid,native,minimized,native_eloss,minimized_eloss,af2norelax,af2relax
3QO0_3_C,166.75714308110486,-16.105778137154473,1642.9188667308,-99.69280881262506,3601747.159090872,-54.98445037143652
3N56_2_C,326.9424363030479,600.2939044314164,542.5903452581647,277.11305911418793,1306251.797422546,405.91092785565957
3N57_2_C,-484.82836010661345,-358.885145288679,2814.1094767211307,-1069.9611946994785,14798890.418502957,-455.43309634370723
4M38_2_E,-473.6526516825669,-524.3820873886079,-642.9669497814878,-930.0544093707416,5349219.963532519,-403.45179535752175
4BOH_3_M,473.11734407437075,126.88279512755571,127.45833107978893,-332.317552931828,20207026.035400033,-93.5865481540317
1Q1S_1_A,1770.755666980289,1741.6405344673096,1469.0628089312452,745.2671610581199,1893.210735807024,1395.0137302949565
1TZS_3_X,827.1615588752727,754.1682301537433,446.67229017166096,293.2954777453258,1145337.6801670692,630.4070604486711
4N4F_2_C,748.1913080925578,611.5622634014493,647.0802817791914,350.4937942094662,260756.7169353062,606.9018601211944
1HTM_1_A,558.4912254936224,705.2600394121669,43426.157970209,70.92516132022841,4060325.958233609,544.3753235578585
1A38_2_P,1158.8984029160538,1005.0873351547664,1225.2969297770558,434.2521389609134,370497.2131143422,540.76228768883
1O6O_2_D,555.1555144093804,694.9381949350118,411.8565853629526,308.09172824447484,3.745249690145382e+18,563.0185159129279
10#4USL_2_D,609.1387118279574,1024.6865694744272,348.3921104247551,166.52204879114493,1044.5749315689359,987.6404143162866
4EZN_2_C,296.18908738852934,469.76271481319645,1246396.731305598,-531.3248352318775,1662.5185731741321,515.0126088104514
4WNN_3_T,1242.1983030100073,920.500213837988,356.91064521397584,-24.895669803654073,97676.75028046877,1831.9500343586883
1KO6_2_B,585.246533005383,212.8116133193563,1860.8537712081602,-492.80881221977427,3648930415.7597737,411.3239453043544
4X2H_3_C,-154.51655388285457,-233.04897093098725,-537.4258407954541,-988.3598470021175,10631738178.367014,624.1517012641264
1YTV_2_M,-326.6707820460607,270.88241953631245,-550.8501760029615,-847.4415237132592,29026905560.562637,137.86901497267456
3IFN_3_P,-275.2254172504264,-373.0959315930317,-871.9678756554251,-1092.5586804886352,41855764.960197546,390.4331353110889
1UM2_2_C,246.94329538756813,87.25338744578028,1485.6166548074166,-1273.9278030085625,512.8697758183206,-242.21386214792977
4BJT_2_D,488.972194040619,101.8532267176069,-514.3219066738022,-722.6348248105073,702.8723745511098,78.50360728728293
3BAE_3_A,-187.64878815183772,-158.68418153283994,-866.1122352230609,-1151.123454932841,92123.40397573033,273.0055576578345
3P6Z_3_C,1660.008965053065,1254.1356202121208,11363.89754627312,478.2616421098697,2069.5719189048814,1117.7952743765868
3WGX_2_C,884.052277581853,819.8591000134368,628.3401077729072,263.0459694574739,48017.30231405453,1054.0389214868987
3LGE_2_E,1780.011956412488,1211.3399300692324,1051.2646946394457,429.20979384627014,3882.933100312912,877.3181328263611
4N1A_2_G,788.6910572202526,-263.6021360640798,177647.5487145564,-1354.2893609371129,467.4802014225836,-533.3234974856446
4GGD_2_C,21605.289030521282,317.3926297636036,1595.6123789842984,-644.1700807427162,657.5759709669546,195.13387175224136
3EGS_3_C,729.7203960378117,401.19669982931396,849.6203100468271,-343.959495477896,1594.1241286184782,734.2593530593565
2ATP_2_E,611.9617725911495,280.79964531865517,812.1631889379066,-801.9871842192151,1051.5699034761633,318.00424804422346
4EZP_2_C,273.1619529930373,181.32106808571223,362.8437994787804,-1042.430068693545,509.3973319569392,174.00860085188305
4HTV_2_B,-1034.2877276000577,-879.2206528032104,64728.15384327951,-3315.9268021937105,-535.8242560278771,-1163.5053912432359
3GZ2_2_P,1107.1354409087035,823.0547952787404,7499.855297821272,172.62589613757845,3948.4894957760253,966.2269320202878
4J6S_2_E,367.6135921870327,-48.18999996382763,-193.8096937666638,-925.4906549854632,798345.5929701877,960.6448060956069
4JLQ_2_B,138.79799240310513,223.8941441426324,-396.72959717616254,-1179.3389389904205,850.393708421077,-83.34546520029551
4KA3_2_B,888.5117634919981,1474.642007224612,1265.6949393980342,244.6997934833313,1748.1329453149604,1332.4124786267146
10#4DT7_3_E,-538.2589837092083,-940.1577025936758,64296.33416604939,-2044.0352351917675,268.1134005524441,-594.6677145318968
1T73_2_B,-205.15536012579332,-976.0494246002288,-1911.2020800598343,-2361.7530394901028,-630.3855835526415,-990.7498748742573
4X2O_3_C,706.3561576347797,987.1768801044902,448.23842353760745,331.17382374372676,1612.6880030856364,997.849973694721
3ZMS_3_C,7144.425656124053,-261.1336858816555,-587.9890831277611,-1360.5084543361056,10647340.535656847,-670.6797303545186
2E4H_2_B,1834.2191082041907,1698.274617520147,1387.5939936393265,975.6469125537747,4345908.851925335,2192.8235065974673
4HKC_2_B,1376.2451527586795,1074.5551023200978,446.57964040591247,-304.69267706598436,1251.9909223368595,809.9176257277867
3DRQ_3_C,1012.358665963284,636.8484109002536,323.0050919787676,-371.9094943092947,1462.1046253402283,637.2093750390878
4GQB_3_C,479.88333530598163,1064.8306422785367,143.0729060923212,-121.46392145146595,3018.553086502774,721.2823101058538
4CUG_2_E,188.83107600727038,31.56092061486663,-533.5153280570795,-942.461418329837,433.1978718403503,-117.12148712810563
4WNL_2_E,446.66248115262874,331.5738712222983,158.7329803953412,-784.475969790682,1201.5577461410576,-95.63106478476152
3W3Y_2_B,2116.4146013638124,1591.5880714840835,161672.10320283266,394.8131202051038,2262.6964012881213,1718.6446880620992
4MMY_3_C,-279.252650791247,-564.8385857678754,-1054.697945288495,-1399.0314505703425,2140.216079844382,-660.0302842828578
1T79_2_B,1208.5889417181356,1131.9907733945558,772.5180907776461,215.18462333782938,2747.76631812086,1486.5022284807737
1T7F_2_B,1014.4994670527253,950.4443678893001,359.60589671883776,-31.150232031214614,1517.7143852406728,774.1294836391105
1P16_2_C,1420.7461835662398,1867.387238623111,945.4631662733539,63.366885617792974,2471.908104765099,2215.8863271035966
2ZPY_2_B,1685.83694432244,1145.3965194250698,3247.5999992900106,455.67625176303136,2292.5617043144357,1111.6938406904019
2Y48_3_C,479.635967927872,217.73129892746317,-357.70274252408757,-1041.207177061127,2709.0433042133363,150.18469740706172
3CDW_2_H,2631.122632308824,423.78761191878607,5647.379297798895,-816.9160001543397,665.9205438780376,87.63777924161013
1TZS_2_P,-779.2842513855508,-644.5323746054985,-1079.6008078547197,-1940.3585072684534,-517.2012588075071,-724.7407559216736
4Q0X_3_E,1374.107972061266,1107.743849118556,623.0717328486885,-274.9086673692718,1871.240359903316,857.9048415764601
1SMF_2_I,2915.5449664649223,1574.7562926108076,1195.934342366712,390.1926886730202,320657.11016699974,2016.7959264472934
4NF9_2_C,757.6026776566727,691.6157744307887,2085.643149046158,-1107.4419527461635,980.6766343734018,-18.00133485678998
1PWV_2_C,1832.8241426645204,2059.066339135016,3468.555510158538,239.9434348532085,1512.33982616198,1616.7612084680536
4MKQ_2_C,1005.2832212688287,746.7547615011182,76.90164642157345,-280.57887900553146,1433.3887529344538,831.9608061229035
3HR5_3_R,-1553.0192126380193,-1384.149526487384,-2075.6871183870567,-2551.3481770401263,-1096.5435051561979,-1592.3714113511733
4J1V_2_E,331.2263676443001,-45.99323152993634,-353.1565001092535,-1020.7162613104531,1578.8916512046744,384.10577923950797
4JWE_2_C,-586.5009672414991,-820.936675804691,-549.893271451645,-2247.7107087321265,41494.07015872773,-961.3038020258333
4M1Z_2_C,1982.068984789314,1465.5253558178242,4970.398087656795,513.5854242579339,1974.5568677154988,1102.1641226560378
4P6Z_5_V,1685.159106571566,1400.418565359137,1256.5075692880744,132.17190685715022,2079.476142954823,1072.2188685427366
2QAS_2_B,744.7933469143612,562.8366413585137,519.448297992203,-519.6170673546433,1559.689194483527,361.12071454606246
4JXT_2_B,1116.9999560295798,1876.2385830058383,1054.0183187107243,376.4109634171214,2320.58895843171,2176.1050392858215
2R0L_4_B,-1017.7059155667403,-1067.2206830190462,-2076.9125457310647,-2654.995996613614,354.17278057693943,-1261.8041888053167
2GPO_2_C,2086.7579416098743,1505.9055134081211,777.777524342872,184.0680754621123,1481.91329415823,1130.963300456286
4AR2_2_P,1662.2652117928706,1666.3731745564519,1068.3058406167838,180.7087507916287,15174.65111649589,1980.189718974474
3QHE_2_B,1019.9592750467048,2144.7419436920422,412.2479567476309,-73.59215163088535,2814.9724946910246,2547.7272213856295
4JO1_3_P,818.3543593021471,769.7019000770415,820.3907898189468,-160.2743327191307,2938.716373777913,1085.8666829727258
4DRW_2_E,2761.4049718569827,2299.6229203416815,32852.604945744184,1260.2073288923634,3307.738030150329,2486.3103150778106
3W3X_2_B,1174.5868442472392,952.4220461161885,1275.927249985745,-144.1646858093199,1208.252694033128,851.0703855934912
2Z3F_2_I,1742.2871652188655,1313.92775887489,329.92486752994284,-51.93017407230877,1473.696382202293,1662.06244301211
4MBE_4_H,1627.7573809329908,1090.4943844542165,1322.8290591509556,74.64796638571278,2476.4738637608616,1071.9147207760004
3C9C_2_B,769.2851286588105,-132.3747542083247,-986.2969145448785,-2274.9402280469294,1466.7003723687822,-694.0727784905905
1QX7_2_D,1400.4152530496535,1181.2779036530455,827.3004467785302,-698.9813313764189,1885.522417761825,713.0345036063288
3ZIL_2_B,-691.8791494400555,-1781.0884004040297,-1022.2302667483443,-3551.712623533881,128.23232002803957,-896.5434382971239
3ZFW_2_X,1311.4819494692326,1230.4014130111623,426.02031060874526,-90.60548885798818,6806.940209820021,1227.5078354811367
3X23_2_B,-957.854713336568,-839.1752695039094,-2117.008093132825,-2920.879241609063,-119.27691693300358,-863.084824682525
2OD8_2_B,1278.1502529929946,1164.9985405493792,1058.6508849462625,-439.8888503435503,1465.4181946135454,913.1112035322521
2Y65_2_W,786.3325337581637,319.7353539204771,13076.864872967326,-926.2029596485118,725.0618148254606,-61.31740975124035
2AN6_2_E,452.6043355312211,262.2843182468886,598.9019433135645,-1230.6527912643705,417.37043401467486,-46.1536109812962
2BP3_2_S,-524.565270926505,157.67573526263914,-593.0353385282344,-1988.1428076967752,371.09167893284257,-131.8146124501609
4NFT_2_E,4218.340492134688,1069.710923340277,1594.0411209124325,-339.15930038938427,30276.839445366888,1183.567406856248
3GJO_2_E,1540.6268145032518,1828.267979262644,2131.965730718879,227.3688701163341,2130.600856669467,1469.6021276284373
2RPQ_2_B,2915.8383000342037,1984.9122714193334,2185.1686424902114,885.26594247294,3514.0543472296404,2241.6416671489014
4P6Z_6_T,4608.61096991762,938.4095580488281,-282.32366220581685,-1160.298654578668,3921.642629486305,1218.039113951762
3WBK_2_C,4080.465648838559,2379.8197169317336,7453.550953055443,1360.9539532884357,3963.9120556145153,2455.6515327284624
4JOL_2_E,1957.4371518543248,1885.6641404688294,3580.9563809129404,447.49210654387997,940011.6423556483,1993.9306387836857
4WJV_3_I,442.453484331652,448.2450219972395,-178.97751547845758,-1333.0958807667866,1798.4063827415919,517.4364968174868
2AO6_2_B,394.67368640638927,355.02505187996553,-830.5798127329876,-1144.1052444669358,605.0069795263905,197.49923780659947
3B71_2_D,1589.4433948116325,999.7766355857389,99486.49280228069,-1027.9202287317535,370.09380739559214,75.71102075213264
3GN8_2_C,575.5476550246602,248.64970352479895,-554.3174557218857,-1337.449234895403,90723.00362391416,-41.71987602352772
2FF6_2_H,238.89734975314013,303.7011984566873,299.25599343839974,-1168.7038303706095,903.5198880283358,93.40586182434231
2JF1_2_T,880.4922177541634,1329.5291167253336,598.9792408320338,-253.43437744769537,2624.4135966171743,1495.4364621835457
3ZED_2_D,1289.9209397802229,1139.9282215040403,-3.84103578913016,-919.4532212201616,1908.8915825177025,1313.7647798932464
10#4DAY_3_C,1892.2069841386106,1435.99375213198,990.8756572509561,-194.56849184194664,6435.645161714895,1722.9530987154167
2GPV_2_G,957.4287658245403,515.7091952677745,-461.1896948022762,-991.9091434920225,883.8153769552379,416.1092591499946
4PBY_2_C,333.16611378684746,143.9459025586375,-840.2481174384145,-2345.6914928647484,877.783364553705,80.45768787034535
4EDN_2_K,1755.452852364684,1531.164226629781,719.8483660108457,403.77412755631804,1876.6927897489445,1382.5977066179103
3NTW_2_B,1888.4181507827386,2511.6571165581527,1354.1343343138437,-96.56572907215275,1605.8681049522916,1415.1711557924546
1T7M_2_B,562.3469013481849,714.5320504326187,-730.5290079993094,-1547.6236065140847,945.7247008096183,173.76613735577348
4BXR_2_C,310.3419620531579,734.0026688912856,133618.99313652064,-830.3328949539718,1038.4188366421638,966.0581462514644
2Z5K_2_B,-891.5227371853957,-114.71327113307802,-2116.754992362231,-2853.278332464752,1056.387112551122,-84.5263849652506
4D07_2_B,488.64357716556987,736.6667639555574,3132.6917837990227,-991.7797056066026,1642.4590854147455,913.2682184181027
4GUT_2_B,1641.9196377457847,1589.1211780842182,1558.8984421501161,-314.8195658056521,7850.103399782854,1236.3481427644379
3MLY_3_P,820.2525150209683,1016.6070056289728,-609.7178500965701,-1349.4538069923606,1238.7274603793956,333.17694620255236
1UF2_3_K,814.4398407733509,108.70387522180454,854.4808799527444,-1490.8347791435756,2574.6073695251853,431.96427632180496
2VZD_2_C,1786.814972043771,1628.4809556437044,849.6720921341913,359.7708986651826,1589.1892787450438,1352.5467460792488
4V1U_2_C,1744.8260878606457,1549.597233034919,873.4663727324953,152.4777958925293,2772.709319043318,1614.0034072329108
4NUU_2_C,1025.1041809948756,1279.1508543526309,-231.96956405154765,-803.3582583535971,950.0888337271637,784.4723886211891
4NUV_2_C,1279.8443607418403,1254.4938301909028,-310.21844027652617,-556.7234580351005,1387.4055582285305,561.4091885278698
4EN2_3_D,875.7630129198277,895.411343533048,202.79888103110014,-543.2667303990313,1046.3531774697417,1344.7743035086412
4N3A_2_B,268.61970416032307,1164.844466827426,-604.1098368926188,-792.5703607390801,1135.348755313066,1578.953941100427
1GFF_3_3,159.77140454603546,435.58033702229886,-784.0150856731632,-1275.5018729697026,661.1446395542213,147.05988933284448
4NAW_4_D,3076.738924432554,2684.5907971467636,2141.3149371073505,1310.2508259099595,4136.795473806829,3597.829781729409
